Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2001-11-20,236.4207099191602,241.7236044984979,236.4207099191602,239.8675994873047,188700,0.0,0.0,0.0
2001-11-21,242.69605533869674,243.0053965664452,233.32760001983104,237.87925720214844,278655,0.0,0.0,0.0
2001-11-23,232.44389602375873,242.7403803154939,230.676268525176,241.28207397460938,58530,0.0,0.0,0.0
2001-11-26,235.53697116095972,238.4093596800951,233.769325671861,236.5975341796875,62055,0.0,0.0,0.0
2001-11-27,237.6499293154419,244.8125793510077,232.56531282792045,240.87754821777344,188550,0.186667,0.0,0.0
2001-11-28,236.5660654134033,243.28719359078212,235.32796125640922,238.06947326660156,265200,0.033333,0.0,0.0
2001-11-29,240.10359546329218,245.1886556550744,235.54914285553906,244.70225524902344,246420,0.0,0.0,0.0
2001-11-30,244.3176006988563,247.36879065557466,241.00107227417718,245.02511596679688,134775,0.02,0.0,0.0
2001-12-03,242.76985181407593,252.76366572504435,240.33773800605508,248.51849365234375,155910,0.0,0.0,0.0
2001-12-04,246.7498249797078,255.37280273437503,242.9910978341451,255.372802734375,209925,0.0,0.0,0.0
2001-12-05,259.8306569974164,268.0125654978409,259.8306569974164,264.9167175292969,288375,0.053333,0.0,0.0
2001-12-06,262.7054663139166,263.1477246602914,253.41789932302052,254.47933959960938,167250,0.0,0.0,0.0
2001-12-07,252.0911317950036,252.22381943617023,240.37111224068397,246.82818603515625,255975,0.0,0.0,0.0
2001-12-10,247.88962025803113,250.27785621758903,244.2188247573046,245.45716857910156,116370,0.0,0.0,0.0
2001-12-11,245.23590111821446,248.199081598483,242.4496441588737,247.00497436523438,36255,0.0,0.0,0.0
2001-12-12,244.21890532510406,246.78404549897357,241.38841001158588,244.35159301757812,104190,0.0,0.0,0.0
2001-12-13,239.8403741993472,250.63164065393676,239.8403741993472,246.12054443359375,180000,0.0,0.0,0.0
2001-12-14,245.89930200249174,253.59471607360936,244.61674311328002,252.13525390625,122340,0.0,0.0,0.0
2001-12-17,247.88966193986684,252.8430380599487,245.23607048200816,246.5628662109375,183420,0.0,0.0,0.0
2001-12-18,245.67817920273214,250.36617673650957,245.23590076896593,249.3931884765625,48975,0.0,0.0,0.0
2001-12-19,252.047004540442,261.51150023928795,250.14528249878688,260.9365539550781,237570,0.0,0.0,0.0
2001-12-20,260.36104531446233,264.7394667155872,256.0710754394531,256.0710754394531,124740,0.0,0.0,0.0
2001-12-21,257.0935845921447,261.07541611474676,255.27963642038475,260.5887451171875,71595,0.14,0.0,0.0
2001-12-24,263.33157273815453,267.2691693417544,261.6946137172561,266.561279296875,50010,0.0,0.0,0.0
2001-12-26,270.7645543834784,277.5336763441227,269.4372771561084,275.67547607421875,114090,0.0,0.0,0.0
